"ASSET","BKCLASS","DEP","DEPDOM","EQ","MUTUAL","NETINC","ROA","ROAPTX","ROAPTXQ","ROAQ","ROE","STNAME","TRUST"
173109,"NM",137267,137267,9150,0,740,1.74669396859491,1.74669396859491,1.75,1.75,32.39,"Oklahoma",0
434390,"SM",371736,371736,45236,0,1635,1.48552802684853,1.48552802684853,1.49,1.49,14.49,"Missouri",0
1333194,"N",1444,1444,1055063,0,63191,19.0660959097852,25.0522544268231,25.05,19.07,23.97,"California",1
327080,"NM",253065,253065,33800,0,2060,0.657119926300491,0.861273689811324,0.45,0.37,6.29,"Georgia",0
705050,"NM",577436,577436,63087,0,1952,1.08121581388908,1.36481340441736,1.36,1.08,12.49,"West Virginia",0
972386,"NM",848472,848472,90303,0,2359,0.979946204733568,1.23459097942695,1.23,0.98,10.53,"Wisconsin",0
324830,"SB",211620,211620,47002,0,1091,0.448708263188782,0.706170566356681,1.39,0.87,3.13,"Pennsylvania",0
1110718,"NM",911604,911604,135222,0,1708,0.617131171085887,0.658682742909586,0.66,0.62,5.05,"Tennessee",0
103977,"NM",95069,95069,8455,0,335,0.435402521823472,0.435402521823472,-0.14,-0.14,5.88,"Illinois",0
64022,"NM",58291,58291,5381,0,193,1.21267337930601,1.23780650633826,1.24,1.21,13.99,"Iowa",1
61610,"NM",52023,52023,4596,0,58,0.369559157341404,0.369559157341404,0.37,0.37,4.86,"North Dakota",0
114029000,"SB",100647000,100647000,3622000,0,-45000,-0.160427807486631,-0.199643493761141,-0.2,-0.16,-4.93,"Arizona",1
455689,"N",396513,396513,41159,0,838,0.736516334864446,0.955361880665458,0.96,0.74,8.15,"Louisiana",0
136384,"N",118886,118886,13933,0,-1382,-1.00050966628442,-0.676900533991266,-5.83,-7.02,-9.01,"Kansas",0
241555,"N",204576,204576,22857,0,381,0.622200810820742,0.842665665048564,0.84,0.62,6.55,"Illinois",0
305605,"NM",271728,271728,22333,0,82,0.109310013863709,0.0786498880238882,0.08,0.11,1.49,"Georgia",0
109436,"NM",102754,102754,2343,0,177,0.653999279492319,0.653999279492319,0.65,0.65,33.18,"Alabama",0
188557,"NM",163073,163073,23886,0,963,1.99667738783592,2.35330097112541,2.35,2,16.58,"Nebraska",0
492300,"NM",421717,421717,52117,0,1769,1.44400501197896,1.91173529567819,1.91,1.44,13.77,"Alaska",0
258013,"NM",243244,243244,13521,0,606,0.907304474762787,0.907304474762787,0.91,0.91,17.89,"Texas",0
89922,"NM",67757,67757,9896,0,-28,-0.125292956186619,-0.246111163938002,-0.25,-0.13,-1.13,"Illinois",0
293369,"NM",257612,257612,30540,0,1219,1.62743815334499,2.10004939722041,2.1,1.63,16.28,"South Carolina",0
798678,"NM",665136,665136,81975,0,7715,1.36103494608539,1.81882959094497,1.98,1.48,13.17,"Florida",0
122538,"SM",117615,117615,4314,0,286,0.912378924365861,0.912378924365861,0.91,0.91,26.03,"Oklahoma",0
98296,"NM",78543,78543,9124,0,530,0.73808592474991,1.15865564036212,1.15,0.73,7.92,"Missouri",0
61854,"NM",49304,49304,8149,0,1621,3.44300782183423,3.5428359326462,5.16,5.06,28.26,"Minnesota",0
75475,"SM",65399,65399,9918,0,394,1.94839714663667,1.94839714663667,1.95,1.95,15.62,"Nebraska",0
1805253,"SI",1572488,1572488,143750,0,1272,0.280344402657872,0.338308693458989,0.34,0.28,3.53,"Maine",0
2928263,"SI",2415196,2415196,242780,0,4678,0.644398550447639,0.854606371735175,0.85,0.64,7.78,"Massachusetts",1
10177000,"SM",9396000,9396000,746000,0,44000,1.7254056173717,2.27439831380815,2.27,1.73,24.79,"Texas",1
351976,"SB",300575,300575,50076,1,-2991,-3.29829378633871,-3.29057460997483,-3.29,-3.3,-23.66,"Pennsylvania",0
696964,"NM",617574,617574,75535,0,7426,1.25223770459736,1.52929487516745,1.48,1.13,11.51,"Oklahoma",1
45358,"N",38416,38416,6882,0,140,0.417864138525425,0.620826720094917,0.12,0.07,2.73,"Texas",0
129801,"NM",112686,112686,8309,0,121,0.373859208020979,0.373859208020979,0.37,0.37,5.69,"Oklahoma",0
4414383,"SM",3973120,3973120,85703,0,22081,2.1163721962693,2.90403338502619,2.9,2.12,82.3,"Utah",0
365672,"NM",289439,289439,39785,0,1105,1.21817114477771,1.46401020838444,1.46,1.22,11.16,"Indiana",1
527002,"NM",482658,482658,36017,0,1406,1.06286574988826,1.33425181262644,1.33,1.06,15.39,"Georgia",0
1757159,"NM",1339364,1339364,171689,0,20373,1.13608684247155,1.4587392977084,1.46,1.14,11.84,"Alabama",0
3317609,"N",2899948,2899948,353642,0,12471,0.528892502646835,0.776565681658744,1,0.66,4.8,"New Mexico",1
52380,"N",45293,45293,6472,0,165,1.24169849302956,1.24169849302956,1.24,1.24,10.13,"Oklahoma",0
113829,"NM",101601,101601,11823,0,-457,-0.382487592169466,0.533976113356935,1.18,-2.3,-3.72,"Missouri",0
950536,"N",825442,825442,82089,0,1424,0.599198298764942,0.951816398740379,0.95,0.6,7.03,"New York",0
2443138,"SM",2153147,2153147,177086,0,9522,1.54848183690731,1.98788510547732,1.99,1.55,21.71,"New York",1
410395,"NM",347517,347517,22756,0,-1830,-0.823333480803508,-0.871923653441092,-1.09,-0.99,-15.94,"Florida",1
1238358,"NM",983728,983728,87867,0,1545,0.489845223176813,0.57037641197093,0.57,0.49,6.95,"New Hampshire",0
28706,"N",24881,24881,3741,0,91,1.29886349444236,1.62714767435637,1.63,1.3,9.85,"Wisconsin",0
